,Graph,x,y,approxOrder,actualDist,approxDist,approxRatio
0,0,-5,3,4,30.77042554994585,43.84162719092403,1.4247975582840513
1,0,-4,0,5,30.77042554994585,43.84162719092403,1.4247975582840513
2,0,-3,-1,2,30.77042554994585,43.84162719092403,1.4247975582840513
3,0,-1,-3,1,30.77042554994585,43.84162719092403,1.4247975582840513
4,0,-1,-5,3,30.77042554994585,43.84162719092403,1.4247975582840513
5,0,2,-3,0,30.77042554994585,43.84162719092403,1.4247975582840513
6,0,5,-1,6,30.77042554994585,43.84162719092403,1.4247975582840513
7,0,5,-1,7,30.77042554994585,43.84162719092403,1.4247975582840513
8,0,4,4,8,30.77042554994585,43.84162719092403,1.4247975582840513
9,1,2,-4,0,34.87433179682131,34.87433179682131,1.0
10,1,-5,-4,1,34.87433179682131,34.87433179682131,1.0
11,1,-2,-1,2,34.87433179682131,34.87433179682131,1.0
12,1,-4,5,3,34.87433179682131,34.87433179682131,1.0
13,1,-1,5,4,34.87433179682131,34.87433179682131,1.0
14,1,1,4,5,34.87433179682131,34.87433179682131,1.0
15,1,4,4,6,34.87433179682131,34.87433179682131,1.0
16,1,3,-3,7,34.87433179682131,34.87433179682131,1.0
17,1,3,-4,8,34.87433179682131,34.87433179682131,1.0
18,2,5,2,0,33.21320343559643,33.21320343559643,1.0
19,2,4,2,1,33.21320343559643,33.21320343559643,1.0
20,2,3,-5,2,33.21320343559643,33.21320343559643,1.0
21,2,-5,-5,3,33.21320343559643,33.21320343559643,1.0
22,2,-1,-1,4,33.21320343559643,33.21320343559643,1.0
23,2,3,3,5,33.21320343559643,33.21320343559643,1.0
24,2,4,4,6,33.21320343559643,33.21320343559643,1.0
25,2,5,5,7,33.21320343559643,33.21320343559643,1.0
26,2,5,3,8,33.21320343559643,33.21320343559643,1.0
