,Graph,x,y,approxOrder,actualDist,approxDist,approxRatio
0,0,0,2,4,25.7249199158544,39.32976995299613,1.5288587906840088
1,0,4,2,0,25.7249199158544,39.32976995299613,1.5288587906840088
2,0,3,0,1,25.7249199158544,39.32976995299613,1.5288587906840088
3,0,4,-1,3,25.7249199158544,39.32976995299613,1.5288587906840088
4,0,5,-5,5,25.7249199158544,39.32976995299613,1.5288587906840088
5,0,2,-1,6,25.7249199158544,39.32976995299613,1.5288587906840088
6,0,-2,-2,7,25.7249199158544,39.32976995299613,1.5288587906840088
7,0,-1,-1,8,25.7249199158544,39.32976995299613,1.5288587906840088
8,0,0,0,2,25.7249199158544,39.32976995299613,1.5288587906840088
9,1,-5,4,0,29.18980249584413,29.189802495844134,1.0000000000000002
10,1,-3,-2,1,29.18980249584413,29.189802495844134,1.0000000000000002
11,1,-3,-4,2,29.18980249584413,29.189802495844134,1.0000000000000002
12,1,1,-3,3,29.18980249584413,29.189802495844134,1.0000000000000002
13,1,1,-2,4,29.18980249584413,29.189802495844134,1.0000000000000002
14,1,-1,0,5,29.18980249584413,29.189802495844134,1.0000000000000002
15,1,2,5,6,29.18980249584413,29.189802495844134,1.0000000000000002
16,1,1,5,7,29.18980249584413,29.189802495844134,1.0000000000000002
17,1,1,5,8,29.18980249584413,29.189802495844134,1.0000000000000002
18,2,5,1,0,28.32285268768197,28.322852687681966,0.9999999999999999
19,2,4,3,1,28.32285268768197,28.322852687681966,0.9999999999999999
20,2,1,5,2,28.32285268768197,28.322852687681966,0.9999999999999999
21,2,-3,5,3,28.32285268768197,28.322852687681966,0.9999999999999999
22,2,-4,5,4,28.32285268768197,28.322852687681966,0.9999999999999999
23,2,-3,4,5,28.32285268768197,28.322852687681966,0.9999999999999999
24,2,-2,2,6,28.32285268768197,28.322852687681966,0.9999999999999999
25,2,2,2,7,28.32285268768197,28.322852687681966,0.9999999999999999
26,2,5,-3,8,28.32285268768197,28.322852687681966,0.9999999999999999
