,Graph,x,y,d(G)
0,0,-2,3,33.48227922873511
1,0,-4,3,33.48227922873511
2,0,-4,-2,33.48227922873511
3,0,-5,-2,33.48227922873511
4,0,-5,-5,33.48227922873511
5,0,0,-5,33.48227922873511
6,0,4,-4,33.48227922873511
7,0,4,3,33.48227922873511
8,0,0,2,33.48227922873511
9,1,-3,5,32.77522380484446
10,1,0,5,32.77522380484446
11,1,5,5,32.77522380484446
12,1,5,4,32.77522380484446
13,1,4,2,32.77522380484446
14,1,-1,-1,32.77522380484446
15,1,-4,-5,32.77522380484446
16,1,-2,-1,32.77522380484446
17,1,-2,3,32.77522380484446
18,2,-1,3,31.230892151455585
19,2,-2,5,31.230892151455585
20,2,-3,0,31.230892151455585
21,2,-1,-1,31.230892151455585
22,2,0,-5,31.230892151455585
23,2,4,-5,31.230892151455585
24,2,2,-1,31.230892151455585
25,2,4,1,31.230892151455585
26,2,0,1,31.230892151455585
